8,8,10,10,12,12,15,16,16,16,18,18,25,25,23,23,23,23,22,22,22,21,21,19,19,21,19,19,19,21,21,21,22,22,23,21,19,19,19,18,18,16,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,27,27,28,28,28,29,29,29,25,23,23,22,22,22,21,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,18,19,19,21,21,21,21,21,22,22,23,23,23,23,25,25,25,27,27,27,28,28,28,28,29,29,29,29,21,21,21,22,22,23,23,23,25,25,25,25,27,27,28,19
8,8,8,10,10,12,15,15,16,16,16,18,25,23,23,23,22,22,22,22,21,21,21,19,19,19,18,19,19,19,21,21,21,22,22,21,19,19,18,18,16,16,16,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,27,28,28,29,29,29,23,23,22,22,22,21,21,25,25,25,23,23,23,22,22,22,21,21,19,19,18,18,18,19,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,19,21,21,22,22,22,23,23,23,25,25,25,27,27,27,19
10,8,8,8,10,10,12,15,15,16,16,18,25,23,23,22,22,22,22,21,21,21,19,19,18,19,18,18,19,19,19,21,21,22,22,19,19,18,18,16,16,16,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,23,22,22,22,21,21,21,25,25,23,23,23,22,22,22,21,21,19,19,18,18,18,18,18,19,19,19,21,19,21,21,21,22,22,22,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,19,19,21,21,21,22,22,23,23,23,25,25,25,27,27,19
10,10,8,8,8,10,10,15,15,15,16,16,23,23,22,22,22,22,21,21,19,19,19,18,18,19,18,18,18,19,19,19,21,21,21,19,18,18,16,16,16,15,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,27,27,28,28,28,29,22,22,22,21,21,21,19,25,25,23,23,22,22,22,21,21,19,19,18,18,18,16,16,18,18,19,19,19,19,19,21,21,22,22,22,22,23,23,25,25,25,25,27,27,27,28,28,28,28,29,19,19,19,21,21,22,22,22,22,23,23,25,25,25,27,18
12,10,10,8,8,8,10,12,15,15,15,16,23,22,22,22,21,21,21,19,19,19,18,18,18,18,16,18,18,18,19,19,19,21,21,18,18,18,16,16,15,15,15,15,15,15,16,16,16,18,18,18,19,19,19,21,22,22,23,23,25,25,27,27,27,28,28,28,22,22,21,21,19,19,19,25,23,23,22,22,22,21,21,19,19,18,18,16,16,16,16,16,18,18,18,19,19,19,19,21,21,21,22,22,22,23,23,23,25,25,27,27,27,27,27,28,28,28,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,18
12,12,10,10,8,8,8,12,12,15,15,15,22,22,22,21,21,21,19,19,19,18,18,18,16,18,16,16,16,18,18,19,19,19,21,18,18,16,16,15,15,15,12,12,15,15,15,16,16,16,18,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,28,28,22,21,21,21,19,19,18,23,23,22,22,22,21,21,21,19,19,18,16,16,16,15,16,16,16,18,18,19,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,16
15,15,12,10,10,8,8,10,10,12,12,15,22,21,21,21,19,19,19,19,18,18,18,16,16,16,15,16,16,16,18,18,18,19,19,18,16,16,15,15,12,12,10,10,12,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,28,21,21,19,19,19,18,18,23,22,22,21,21,21,19,19,19,18,16,16,16,15,15,15,15,16,16,16,18,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,27,27,27,27,28,16,18,18,19,19,19,21,21,21,22,22,22,23,23,25,16
16,15,15,15,12,12,10,8,8,10,10,12,21,21,19,19,19,18,18,18,16,16,16,15,15,16,12,15,15,16,16,16,18,18,18,16,15,15,12,12,10,10,8,8,10,10,12,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,25,25,25,27,27,19,19,19,18,18,16,16,22,21,21,21,19,19,19,18,18,16,16,15,15,12,12,12,15,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,15,16,16,18,18,18,19,19,19,21,21,22,22,23,23,15
16,16,15,15,15,12,10,8,8,8,8,10,21,19,19,19,18,18,18,16,16,16,15,15,15,15,12,12,15,15,16,16,16,18,18,16,16,15,15,12,12,10,10,10,10,12,12,15,15,15,16,16,18,18,18,19,19,21,21,22,22,23,25,25,25,27,27,27,21,19,19,19,18,18,16,22,22,21,21,21,19,19,19,18,18,16,15,15,15,15,15,15,15,16,16,16,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,15
16,16,16,15,15,15,12,10,8,8,8,10,19,19,19,18,18,18,16,16,16,15,15,15,12,15,10,12,12,15,15,16,16,16,18,16,16,16,15,15,12,12,10,10,12,12,15,15,15,16,16,16,18,18,18,19,21,21,22,22,23,23,25,25,27,27,27,28,21,21,19,19,19,18,18,23,22,22,21,21,21,19,19,18,18,16,16,15,15,15,15,15,16,16,16,16,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,27,16,18,18,18,19,19,21,21,21,22,22,22,23,23,25,16
